;date;price;hashrate;difficulty;reward;e_min_005;e_min_010;e_min_014;c_btc_005;c_btc_010;c_btc_014;max_k_antminer;max_k_bitfury;min_consumption;max_consumption_005;max_consumption_014;mixed_consumption_005;c_btc_005_max_e;c_btc_010_max_e;c_btc_014_max_e
3533;29/04/2009;0.0;6.11436316444e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3532;30/04/2009;0.0;6.56175559111e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3531;01/05/2009;0.0;6.11436316444e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3530;02/05/2009;0.0;6.11436316444e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3529;03/05/2009;0.0;5.666970737780001e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3528;04/05/2009;0.0;6.06465289481e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3527;05/05/2009;0.0;6.56175559111e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3526;06/05/2009;0.0;6.81030693926e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3525;07/05/2009;0.0;6.01494262519e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3524;08/05/2009;0.0;6.06465289481e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3523;09/05/2009;0.0;4.5236345363e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
